"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","Significance"
"WASF2",1911.26617205735,0.0414617354064885,0.185752179750675,0.22320995350978,0.82337210557649,0.940574776756672,"WASF2","10163","Not Significant"
"AHDC1",2567.02736442308,0.102387879585649,0.172257865912827,0.594387252176124,0.552253132748814,0.8149210862381,"AHDC1","27245","Not Significant"
"PHACTR4",597.801706126257,0.139832245246409,0.166763810249288,0.838504739351896,0.401747287072177,0.720726671666594,"PHACTR4","65979","Not Significant"
"SNHG3",148.020099665879,0.25777222656346,0.144998675837438,1.77775572828303,0.0754439825130732,0.370019760243314,"SNHG3","8420","Not Significant"
"TAF12",100.38349814483,0.0850525966939844,0.126585549463541,0.671898151522271,0.501648537251463,0.787283539769745,"TAF12","6883","Not Significant"
"RCC1",134.144838449159,0.721570121699922,0.246529342337083,2.92691374933094,0.00342343806807583,0.11104812165918,"RCC1","1104","Not Significant"
"SRSF4",1130.5855130839,0.0862733188729934,0.084980899459546,1.01520835177866,0.310006520282835,0.649568436209475,"SRSF4","6429","Not Significant"
"PTPRU",1052.2292247949,0.227132190424828,0.176247066537786,1.2887147280612,0.197497280317468,0.544045902662961,"PTPRU","10076","Not Significant"
"MATN1-AS1",38.8576297262956,-0.485589763725295,0.360270376498442,-1.3478481590545,0.177707224700787,0.521092601258319,"MATN1-AS1","100129196","Not Significant"
"MATN1",10.9148972216535,-0.0265714514400918,0.422150443731867,-0.0629430854204405,0.949811825638904,0.985513636111334,"MATN1","4146","Not Significant"
"PTP4A2",3401.44622901885,0.205612500696049,0.327015551365947,0.62875450368401,0.529509789644862,0.800795100707736,"PTP4A2","8073","Not Significant"
"ZBTB8A",187.400573483178,0.0953456667047294,0.094367709871293,1.0103632570375,0.312321284724479,0.651292118619625,"ZBTB8A","653121","Not Significant"
"RNF19B",421.81453763922,-0.183747587817665,0.132215072314343,-1.38976279028765,0.164600920712124,0.505929031119008,"RNF19B","127544","Not Significant"
"S100PBP",393.458299785074,-0.0120454604889586,0.128614561757351,-0.0936554953371761,0.925382824395819,0.97700263832118,"S100PBP","64766","Not Significant"
"KPNA6",1672.842098531,-0.0756341179041983,0.0947274820231876,-0.7984390199001,0.424615767235832,0.737129917735821,"KPNA6","23633","Not Significant"
"SYNC",79.5578583271959,0.15589942871498,0.173194427135747,0.900141137871533,0.368045146052284,0.696210977462437,"SYNC","81493","Not Significant"
